Comment,Designator,Footprint,LCSC,Quantity
10k,"R12,R15,R20,R22,R8",R_0201_0603Metric,C138117,5
1k,"R1,R10,R9",R_0201_0603Metric,C138165,3
140k,"R16,R17,R21",R_0201_0603Metric,C138174,3
BAT20JFILM,D3,D_SOD-323,C155590,1
MT3608B,U8,SOT-23-6,C19189893,1
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
AFE201610SR47MBT,L1,L_Murata_DFE201610P,C22459313,1
15pF,"C15,C16",C_0201_0603Metric,C237567,2
MAX98357AEWL,U9,WLP-9_3x3_1.437x1.347mm_W91F1+1,C2682619,1
27,"R13,R4,R5,R6,R7",R_0201_0603Metric,C273268,5
5.1k,"R11,R18,R19,R2,R3",R_0201_0603Metric,C274341,5
22uF,"C17,C20,C21,C27,C29,C30,C31,C33,C35",C_0603_1608Metric,C2762594,9
620k,R14,R_0201_0603Metric,C295860,1
100nF,"C1,C12,C13,C14,C18,C19,C2,C24,C28,C3,C32,C34,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C307380,18
1uF,"C10,C11,C23,C25",C_0201_0603Metric,C307385,4
4.7uF,"C22,C26",C_0402_1005Metric,C318563,2
CMH160808B4R7MT,L2,L_0603_1608Metric,C394952,1
MT9700-N,U7,SOT-23-5,C42441843,1
LED_BUTTON_L,"D1,D2",LED_MX_6028R,C5242955,2
BQ24074RGT,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C54313,1
VDD331MCTA,U5,SOT-23,C697886,1
RT6160A,U6,WL-CSP-15B_1.4x2.3_BSC,C7065276,1
USBLC6-2SC6,U1,SOT-23-6,C7519,1
W25Q128JVSIQ,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
